t_s,x_m,x_dot_ms,duty,trial_id,voltage_v
0.0,-0.0023365595361074087,-0.027374477288364292,80,0,8.0
0.049996,0.001335176877775662,0.010171090023192579,80,0,8.0
0.099996,0.006408849013323177,0.07743759507070717,80,0,8.0
0.149995,0.011883074212203392,0.11127461002073728,80,0,8.0
0.200003,0.017290540567194822,0.11224183372976636,80,0,8.0
0.250001,0.022898283453852603,0.1091694993082058,80,0,8.0
0.299997,0.028506026340510384,0.11096691899926503,80,0,8.0
0.349997,0.0339802515393906,0.11189166724763636,80,0,8.0
0.4,0.039454476738270815,0.11001345530188833,80,0,8.0
0.45,0.04486194309326224,0.10867626926988411,80,0,8.0
0.499998,0.05026940944825367,0.10821906374333379,80,0,8.0
0.549996,0.05587715233491145,0.10923556636394541,80,0,8.0
0.599995,0.06135137753379167,0.11087943726219025,80,0,8.0
0.649996,0.06689236157656067,0.11070285203222628,80,0,8.0
0.700003,0.07243334561932967,0.11041331441810048,80,0,8.0
0.750001,0.07797432966209866,0.11083097261150894,80,0,8.0
0.799995,0.08344855486097888,0.11050000148005129,80,0,8.0
0.849996,0.08898953890374788,0.11004352360990806,80,0,8.0
0.899995,0.0943970052587393,0.10970438869690274,80,0,8.0
0.949996,0.09987123045761952,0.10899767806570529,80,0,8.0
0.999998,0.10521193796872216,0.10827155168942651,80,0,8.0
1.049995,0.11088643969926873,0.10917588615247628,80,0,8.0
1.099996,0.11642742374203773,0.1116502045637824,80,0,8.0
1.149995,0.1220351666286955,0.1122761197260568,80,0,8.0
1.200002,0.12750939182757573,0.11106453550775039,80,0,8.0
1.250001,0.13291685818256715,0.10938863849641645,80,0,8.0
1.299996,0.13812404800589223,0.10686608086831009,80,0,8.0
1.349996,0.1433979966731061,0.10481508667057608,80,0,8.0
1.399998,0.14887222187198632,0.10602538489048664,80,0,8.0
1.449997,0.15414617053920018,0.10793672224389984,80,0,8.0
1.5,0.1595536368941916,0.10733752943974494,80,0,8.0
1.549995,0.16509462093696062,0.10818586165695665,80,0,8.0
1.599996,0.1705688461358408,0.11024864513907302,80,0,8.0
1.649995,0.17584279480305468,0.10892795666983218,80,0,8.0
1.700004,0.18125026115804613,0.10661024118024073,80,0,8.0
1.750001,0.18665772751303755,0.10722432819507526,80,0,8.0
1.799996,0.19206519386802898,0.10841495178938856,80,0,8.0
1.849997,0.1974726602230204,0.10831577332112656,80,0,8.0
1.899996,0.20288012657801183,0.10810621550544933,80,0,8.0
1.949995,0.20835435177689204,0.10851275952352146,80,0,8.0
1.999995,0.21382857697577226,0.10933112715593973,80,0,8.0
2.049996,0.21930280217465248,0.10965136909639128,80,0,8.0
2.099995,0.2247770273735327,0.10951073420546206,80,0,8.0
2.149996,0.23011773488463536,0.10867358440856685,80,0,8.0
2.200003,0.23559196008351554,0.10790990397631184,80,0,8.0
2.250001,0.24113294412628455,0.10922342407327773,80,0,8.0
2.3,0.24654041048127598,0.11014417801051418,80,0,8.0
2.349999,0.252081394524045,0.10953261147040291,80,0,8.0
2.399998,0.2575556197229252,0.1097650586924292,80,0,8.0
2.449998,0.2630966037656942,0.1102604951587162,80,0,8.0
2.499999,0.2686375878084632,0.110609801012563,80,0,8.0
2.549995,0.2741785718512322,0.11091683370249453,80,0,8.0
2.599996,0.27958603820622363,0.11007707722878947,80,0,8.0
2.649995,0.2850602634051038,0.10884998943239696,80,0,8.0
2.700003,0.2904677297600953,0.10859668816821923,80,0,8.0
2.750001,0.29587519611508667,0.10841138677337024,80,0,8.0
2.799996,0.30121590362618933,0.10768152414762489,80,0,8.0
0.0,-0.0022698006922186255,-0.026592349365839596,120,1,8.0
0.050001,0.0032044245066615885,0.02105187167513636,120,1,8.0
0.100001,0.011148726929426778,0.11523204888006883,120,1,8.0
0.15,0.019693858947191015,0.17158407966515324,120,1,8.0
0.2,0.028305749808844035,0.17732702352560026,120,1,8.0
0.250001,0.03685088182660827,0.171567883317364,120,1,8.0
0.300001,0.04532925500048372,0.16979871607668873,120,1,8.0
0.35,0.0537408693304704,0.1692240474412623,120,1,8.0
0.400002,0.0624195190360122,0.1699186402295076,120,1,8.0
0.450004,0.07103140989766522,0.17235938535730116,120,1,8.0
0.500005,0.07957654191542946,0.172628916683784,120,1,8.0
0.550001,0.08825519162097126,0.17182593635713805,120,1,8.0
0.600001,0.09673356479484671,0.17178615604700104,120,1,8.0
0.650004,0.10521193796872216,0.1703533269758329,120,1,8.0
0.700004,0.11382382883037519,0.1699628603682825,120,1,8.0
0.750002,0.1224357196920282,0.1717777243305431,120,1,8.0
0.800001,0.13098085170979243,0.17224125295248519,120,1,8.0
0.85,0.13925894835200153,0.16958384994495773,120,1,8.0
0.900001,0.14787083921365457,0.1679379324424193,120,1,8.0
