episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
1221,965102,800,0.539419,0.421879,0
1222,965902,800,0.802699,0.401524,0
1223,966702,800,0.815856,0.411747,0
1224,967502,800,0.818966,0.402809,0
1225,968302,800,-0.000011,0.398310,0
1226,969102,800,0.739569,0.393514,0
1227,969902,800,0.761345,0.400475,0
1228,970702,800,0.697038,0.389512,0
1229,971502,800,0.821274,0.391793,0
1230,972302,800,0.816288,0.386864,0
1231,973102,800,0.703149,0.401316,0
1232,973902,800,0.562766,0.392222,0
1233,974702,800,0.830794,0.398387,0
1234,975502,800,0.679376,0.417742,0
1235,976302,800,0.748210,0.418898,0
1236,977102,800,0.746202,0.407790,0
1237,977902,800,0.734711,0.392662,0
1238,978702,800,0.773465,0.386706,0
1239,979502,800,0.771615,0.390431,0
1240,980302,800,0.710819,0.409457,0
1241,981102,800,0.798530,0.411199,0
1242,981902,800,0.833262,0.414673,0
1243,982702,800,0.489170,0.403516,0
1244,983502,800,0.775812,0.401890,0
1245,984302,800,0.831932,0.406378,0
1246,985102,800,0.471738,0.410595,0
1247,985902,800,0.825354,0.392683,0
1248,986702,800,0.459887,0.416431,0
1249,987502,800,0.762428,0.411021,0
1250,988302,800,0.692085,0.422439,0
1251,989102,800,0.760041,0.416317,0
1252,989902,800,0.773106,0.409721,0
1253,990702,800,0.831602,0.412127,0
1254,991502,800,0.803026,0.408161,0
1255,992302,800,0.814426,0.381675,0
1256,993102,800,0.815850,0.391911,0
1257,993902,800,0.804759,0.377350,0
1258,994702,800,0.819089,0.404848,0
1259,995502,800,0.813044,0.388446,0
1260,996302,800,0.507366,0.388311,0
1261,997102,800,0.785476,0.389415,0
1262,997902,800,0.683801,0.390150,0
1263,998702,800,0.529702,0.381751,0
1264,999502,800,0.762390,0.390799,0
1265,1000302,800,0.329593,0.388449,0
