episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
151,118150,800,0.179921,0.000000,0
152,118950,800,0.261493,0.111309,0
153,119557,607,-0.661698,0.298744,1
154,120357,800,0.013523,0.220482,0
155,121157,800,-0.056498,0.194869,0
156,121957,800,0.083110,0.159721,0
157,122757,800,0.102409,0.163519,0
158,123557,800,0.072795,0.145348,0
159,124357,800,0.063074,0.144953,0
160,125157,800,0.095766,0.137350,0
161,125957,800,0.186672,0.129147,0
162,126757,800,0.119233,0.136796,0
163,127557,800,-0.000877,0.138171,0
164,128357,800,0.100654,0.150522,0
165,129157,800,0.182029,0.155329,0
166,129957,800,0.229631,0.159311,0
167,130757,800,0.125842,0.163595,0
168,131557,800,0.091565,0.177070,0
169,132357,800,0.419222,0.182397,0
170,133157,800,0.130065,0.188519,0
171,133957,800,0.220761,0.177856,0
172,134757,800,0.360669,0.192623,0
173,135557,800,0.384466,0.202985,0
174,136357,800,0.185610,0.212746,0
175,137157,800,0.192967,0.209313,0
176,137957,800,0.316327,0.212215,0
177,138757,800,0.290921,0.209276,0
178,139557,800,0.392739,0.218798,0
179,140357,800,0.149950,0.212501,0
180,141157,800,0.289746,0.214393,0
181,141957,800,0.123234,0.205095,0
182,142757,800,0.327981,0.210126,0
183,143557,800,0.347263,0.217304,0
184,144357,800,0.380932,0.216324,0
185,145157,800,0.358187,0.221925,0
186,145957,800,0.235541,0.217756,0
187,146757,800,0.367100,0.224090,0
188,147557,800,0.276545,0.221632,0
189,148357,800,0.181631,0.226889,0
190,149157,800,0.186218,0.226048,0
191,149957,800,0.246190,0.229487,0
192,150757,800,0.297478,0.238767,0
