episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
1115,881298,800,0.792290,0.512368,0
1116,882098,800,0.653424,0.510641,0
1117,882898,800,0.749611,0.500225,0
1118,883698,800,0.793696,0.480813,0
1119,884498,800,0.778000,0.473039,0
1120,885298,800,0.795658,0.464741,0
1121,886098,800,0.763354,0.453795,0
1122,886898,800,0.775913,0.452561,0
1123,887698,800,0.792382,0.441570,0
1124,888498,800,0.754976,0.442508,0
1125,889298,800,0.752847,0.423585,0
1126,890098,800,0.706753,0.420585,0
1127,890190,92,-0.540548,0.443441,1
1128,890990,800,0.716078,0.429006,0
1129,891502,512,-0.289783,0.440567,1
1130,892302,800,0.729437,0.438406,0
1131,893102,800,0.792787,0.428957,0
1132,893902,800,0.736089,0.418083,0
1133,894702,800,0.693588,0.410013,0
1134,895502,800,0.570229,0.409507,0
1135,896302,800,0.765841,0.412655,0
1136,897102,800,0.748486,0.411343,0
1137,897902,800,0.699889,0.401125,0
1138,898702,800,0.533383,0.422628,0
1139,899502,800,0.532167,0.440354,0
1140,900302,800,0.818087,0.423540,0
1141,901102,800,0.605757,0.423218,0
1142,901902,800,0.731386,0.432306,0
1143,902702,800,0.761767,0.426855,0
1144,903502,800,0.828865,0.436936,0
1145,904302,800,0.565124,0.422044,0
1146,905102,800,0.541519,0.431750,0
1147,905902,800,0.540681,0.433716,0
1148,906702,800,0.543471,0.438818,0
1149,907502,800,0.805861,0.444723,0
1150,908302,800,0.536257,0.438732,0
1151,909102,800,0.549910,0.441522,0
1152,909902,800,0.554786,0.422074,0
1153,910702,800,0.815997,0.434164,0
1154,911502,800,0.552260,0.436324,0
1155,912302,800,0.663637,0.451446,0
1156,913102,800,0.675648,0.450773,0
1157,913902,800,0.728242,0.440713,0
1158,914702,800,0.787858,0.442823,0
1159,915502,800,0.745755,0.439078,0
1160,916302,800,0.707405,0.440691,0
1161,917102,800,0.645041,0.446778,0
1162,917902,800,0.747396,0.442737,0
1163,918702,800,0.547536,0.426896,0
1164,919502,800,0.683539,0.456526,0
1165,920302,800,0.777966,0.430463,0
1166,921102,800,0.794750,0.431332,0
1167,921902,800,0.689571,0.418396,0
1168,922702,800,0.697967,0.420525,0
1169,923502,800,0.628115,0.441534,0
1170,924302,800,0.785810,0.441255,0
1171,925102,800,0.793812,0.432676,0
1172,925902,800,0.820999,0.433111,0
1173,926702,800,0.614257,0.431280,0
1174,927502,800,0.558837,0.449226,0
1175,928302,800,0.697478,0.458761,0
1176,929102,800,0.783763,0.449600,0
1177,929902,800,0.826002,0.438776,0
1178,930702,800,0.803432,0.432922,0
1179,931502,800,0.565508,0.444981,0
1180,932302,800,0.802528,0.443600,0
1181,933102,800,0.795382,0.447301,0
1182,933902,800,0.823160,0.440225,0
1183,934702,800,0.824831,0.437448,0
1184,935502,800,0.775301,0.420071,0
1185,936302,800,0.761617,0.418061,0
1186,937102,800,0.810706,0.427050,0
1187,937902,800,0.611636,0.422091,0
1188,938702,800,0.778868,0.435655,0
1189,939502,800,0.804137,0.415087,0
1190,940302,800,0.802600,0.409485,0
1191,941102,800,0.733414,0.405151,0
1192,941902,800,0.758937,0.393838,0
1193,942702,800,0.665040,0.397243,0
1194,943502,800,0.754229,0.399294,0
1195,944302,800,0.732516,0.393261,0
1196,945102,800,0.777489,0.401086,0
1197,945902,800,0.753637,0.390148,0
1198,946702,800,0.798023,0.406879,0
1199,947502,800,0.738995,0.409398,0
1200,948302,800,0.797951,0.396311,0
1201,949102,800,0.707160,0.392480,0
1202,949902,800,0.818617,0.409803,0
1203,950702,800,0.794819,0.395513,0
1204,951502,800,0.794890,0.394903,0
1205,952302,800,0.832541,0.395817,0
1206,953102,800,0.826701,0.393139,0
1207,953902,800,0.709351,0.392000,0
1208,954702,800,0.757894,0.398127,0
1209,955502,800,0.729096,0.404328,0
1210,956302,800,0.775243,0.405210,0
1211,957102,800,0.797862,0.404337,0
1212,957902,800,0.684874,0.402823,0
1213,958702,800,0.768836,0.393336,0
1214,959502,800,0.783595,0.407241,0
1215,960302,800,0.677393,0.413680,0
1216,961102,800,0.579240,0.411191,0
1217,961902,800,0.826830,0.402925,0
1218,962702,800,0.752143,0.411834,0
1219,963502,800,0.771135,0.401501,0
1220,964302,800,0.760045,0.399421,0
