episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
66,50843,800,0.161208,0,0
67,51643,800,0.14273,0.023028,0
68,52443,800,-0.036143,0.02787,0
69,53243,800,-0.001943,0.028747,0
70,54043,800,-0.048319,0.031999,0
71,54843,800,0.04146,0.027744,0
72,55643,800,-0.10003,0.045997,0
73,56443,800,0.126967,0.041631,0
74,57243,800,0.029492,0.038436,0
75,58043,800,0.041675,0.036283,0
76,58843,800,0.115616,0.032759,0
77,59643,800,0.041499,0.033059,0
78,60443,800,0.010193,0.03202,0
79,61243,800,0.02816,0.031673,0
80,62043,800,0.024049,0.031644,0
81,62690,647,-0.433099,0.068981,1
82,63490,800,0.046391,0.065114,0
83,64290,800,0.016525,0.062244,0
84,65090,800,0.089626,0.061652,0
85,65890,800,0.126585,0.049452,0
86,66690,800,0.055308,0.056512,0
87,67490,800,0.117123,0.051655,0
88,68290,800,0.005461,0.058644,0
89,69090,800,0.011527,0.056683,0
90,69890,800,0.001008,0.054142,0
91,70690,800,0.052462,0.051063,0
92,71490,800,-0.014233,0.05523,0
93,72290,800,0.088042,0.047228,0
94,73090,800,0.002666,0.054384,0
95,73890,800,0.111306,0.049753,0
96,74150,260,-0.572823,0.066772,1
97,74950,800,0.052798,0.069601,0
98,75750,800,0.184612,0.071462,0
99,76550,800,0.04838,0.06668,0
100,77350,800,0.052477,0.065577,0
101,78150,800,0.078904,0.069697,0
102,78950,800,0.082723,0.062142,0
103,79750,800,0.032471,0.067469,0
104,80550,800,0.204306,0.064103,0
105,81350,800,0.086766,0.064654,0
106,82150,800,0.049907,0.06724,0
107,82950,800,0.081045,0.067199,0
108,83750,800,0.10512,0.064498,0
109,84550,800,-0.050852,0.064148,0
110,85350,800,0.108686,0.068981,0
111,86150,800,0.067936,0.06845,0
112,86950,800,0.051413,0.070106,0
113,87750,800,0.114532,0.064769,0
114,88550,800,0.09322,0.068359,0
115,89350,800,0.122161,0.070565,0
116,90150,800,0.058175,0.076519,0
117,90950,800,0.080798,0.071195,0
118,91750,800,0.117051,0.072557,0
119,92550,800,0.013411,0.071017,0
120,93350,800,0.071981,0.078658,0
121,94150,800,0.041497,0.071677,0
122,94950,800,0.118821,0.07139,0
123,95750,800,0.160993,0.073194,0
124,96550,800,0.080765,0.072534,0
125,97350,800,0.157517,0.077268,0
126,98150,800,0.080534,0.075485,0
127,98950,800,0.194535,0.080406,0
128,99750,800,0.064181,0.077211,0
129,100550,800,0.168903,0.076356,0
130,101350,800,0.123711,0.076737,0
131,102150,800,0.165825,0.085014,0
132,102950,800,0.223095,0.078607,0
133,103750,800,0.177185,0.080887,0
134,104550,800,0.162901,0.090232,0
135,105350,800,0.210765,0.086259,0
136,106150,800,0.103683,0.08028,0
137,106950,800,0.302744,0.082889,0
138,107750,800,0.168269,0.081101,0
139,108550,800,0.111604,0.090973,0
140,109350,800,0.239534,0.091587,0
141,110150,800,0.326723,0.091282,0
142,110950,800,0.096931,0.091561,0
143,111750,800,0.192298,0.093346,0
144,112550,800,0.269601,0.09547,0
145,113350,800,-0.008367,0.087263,0
146,114150,800,0.280047,0.096078,0
147,114950,800,0.202881,0.096768,0
148,115750,800,0.048677,0.098215,0
149,116550,800,0.029335,0.097594,0
150,117350,800,0.332543,0.10265,0
