episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
1017,802898,800,0.528931,0.681616,0
1018,803698,800,0.579971,0.701779,0
1019,804498,800,0.502314,0.700056,0
1020,805298,800,0.620995,0.717597,0
1021,806098,800,0.491563,0.706221,0
1022,806898,800,0.52187,0.711241,0
1023,807698,800,0.491262,0.716647,0
1024,808498,800,0.525841,0.718558,0
1025,809298,800,0.517615,0.725788,0
1026,810098,800,0.554378,0.731008,0
1027,810898,800,0.5335,0.722979,0
1028,811698,800,0.638994,0.743357,0
1029,812498,800,0.541671,0.732245,0
1030,813298,800,0.669926,0.718019,0
1031,814098,800,0.423867,0.714761,0
1032,814898,800,0.461997,0.72213,0
1033,815698,800,0.508833,0.726818,0
1034,816498,800,0.501684,0.718553,0
1035,817298,800,0.621967,0.71822,0
1036,818098,800,0.54052,0.719129,0
1037,818898,800,0.53434,0.71916,0
1038,819698,800,0.439462,0.717404,0
1039,820498,800,0.471962,0.734337,0
1040,821298,800,0.417797,0.738751,0
1041,822098,800,0.470665,0.736226,0
1042,822898,800,0.552747,0.727053,0
1043,823698,800,0.538883,0.74669,0
1044,824498,800,0.4989,0.730194,0
1045,825298,800,0.533123,0.738894,0
1046,826098,800,0.486268,0.752776,0
1047,826898,800,0.630594,0.744711,0
1048,827698,800,0.609939,0.748762,0
1049,828498,800,0.668107,0.747192,0
1050,829298,800,0.583599,0.742105,0
1051,830098,800,0.677486,0.727981,0
1052,830898,800,0.529504,0.731601,0
1053,831698,800,0.460765,0.740709,0
1054,832498,800,0.459493,0.739056,0
1055,833298,800,0.566919,0.744641,0
1056,834098,800,0.429657,0.73904,0
1057,834898,800,0.511778,0.728521,0
1058,835698,800,0.563983,0.751106,0
1059,836498,800,0.566652,0.760067,0
1060,837298,800,0.629905,0.752838,0
1061,838098,800,0.587277,0.76614,0
1062,838898,800,0.525211,0.755626,0
1063,839698,800,0.561001,0.749039,0
1064,840498,800,0.648279,0.747213,0
1065,841298,800,0.657003,0.730333,0
1066,842098,800,0.618958,0.741519,0
1067,842898,800,0.716497,0.734995,0
1068,843698,800,0.493532,0.748702,0
1069,844498,800,0.630035,0.759277,0
1070,845298,800,0.467574,0.764507,0
1071,846098,800,0.726236,0.753016,0
