episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
699,549953,800,0.218610,0.373671,0
700,550753,800,0.458098,0.368384,0
701,551553,800,0.397553,0.374295,0
702,552353,800,0.453732,0.376108,0
703,553153,800,0.329942,0.374077,0
704,553953,800,0.222522,0.370166,0
705,554753,800,0.227135,0.375283,0
706,555553,800,0.521714,0.361563,0
707,556353,800,0.271909,0.364546,0
708,557153,800,0.410196,0.370096,0
709,557953,800,0.332004,0.378783,0
710,558753,800,0.504672,0.381791,0
711,559553,800,0.474353,0.372091,0
712,560353,800,0.455015,0.372639,0
713,561153,800,0.453725,0.375757,0
714,561953,800,0.514237,0.380198,0
715,562753,800,0.309846,0.383101,0
716,563553,800,0.424588,0.377472,0
717,564353,800,0.348749,0.390938,0
718,565153,800,0.427664,0.378635,0
719,565953,800,0.490307,0.381289,0
720,566753,800,0.502435,0.377059,0
721,567553,800,0.480107,0.385156,0
722,568353,800,0.431764,0.387161,0
723,569153,800,0.488682,0.381757,0
724,569953,800,0.482458,0.376579,0
725,570753,800,0.450259,0.391230,0
726,571553,800,0.442444,0.374260,0
727,572353,800,0.420471,0.381536,0
728,573153,800,0.476392,0.374622,0
729,573953,800,0.477488,0.373612,0
730,574753,800,0.482752,0.367159,0
731,575553,800,0.454631,0.377393,0
732,576353,800,0.285400,0.379236,0
733,577153,800,0.522925,0.368420,0
734,577953,800,0.516679,0.374663,0
735,578753,800,0.428745,0.379647,0
736,579553,800,0.534682,0.379362,0
737,580353,800,0.500967,0.369792,0
738,581153,800,0.456824,0.377223,0
739,581898,745,-0.118673,0.376294,1
740,582698,800,0.484198,0.393527,0
741,583498,800,0.497481,0.381764,0
742,584298,800,0.512874,0.388636,0
743,585098,800,0.474624,0.375102,0
744,585898,800,0.500932,0.365939,0
745,586698,800,0.539747,0.375537,0
746,587498,800,0.551896,0.373388,0
747,588298,800,0.458029,0.369622,0
748,589098,800,0.539289,0.377714,0
749,589898,800,0.488699,0.357430,0
750,590698,800,0.480111,0.367554,0
751,591498,800,0.527694,0.370035,0
752,592298,800,0.502567,0.364908,0
753,593098,800,0.518792,0.362237,0
754,593898,800,0.440534,0.364185,0
755,594698,800,0.509429,0.365154,0
756,595498,800,0.498202,0.369270,0
757,596298,800,0.501470,0.361295,0
758,597098,800,0.558578,0.356798,0
759,597898,800,0.422105,0.366895,0
760,598698,800,0.480589,0.365169,0
761,599498,800,0.573903,0.371501,0
762,600298,800,0.519454,0.352426,0
763,601098,800,0.316548,0.363254,0
764,601898,800,0.502464,0.364139,0
765,602698,800,0.547011,0.360915,0
766,603498,800,0.583618,0.353157,0
767,604298,800,0.534525,0.352663,0
768,605098,800,0.503295,0.351983,0
769,605898,800,0.566743,0.348743,0
770,606698,800,0.490055,0.343119,0
771,607498,800,0.481891,0.345064,0
772,608298,800,0.548524,0.340294,0
773,609098,800,0.513155,0.345757,0
774,609898,800,0.488360,0.346622,0
775,610698,800,0.561604,0.342026,0
776,611498,800,0.523943,0.333938,0
777,612298,800,0.521997,0.328234,0
778,613098,800,0.500532,0.335195,0
779,613898,800,0.467875,0.335292,0
780,614698,800,0.493175,0.337518,0
781,615498,800,0.462250,0.335494,0
782,616298,800,0.493351,0.330276,0
783,617098,800,0.548301,0.331173,0
784,617898,800,0.529127,0.329649,0
785,618698,800,0.503547,0.335992,0
786,619498,800,0.442193,0.335172,0
787,620298,800,0.590875,0.325607,0
788,621098,800,0.500808,0.332669,0
789,621898,800,0.442295,0.320616,0
790,622698,800,0.480875,0.330844,0
791,623498,800,0.496121,0.315495,0
792,624298,800,0.571369,0.318699,0
793,625098,800,0.530924,0.334842,0
794,625898,800,0.461348,0.323616,0
795,626698,800,0.544122,0.316916,0
796,627498,800,0.520234,0.325387,0
797,628298,800,0.613005,0.322976,0
798,629098,800,0.436114,0.326725,0
799,629898,800,0.546531,0.322928,0
800,630698,800,0.593741,0.327890,0
801,631498,800,0.380578,0.332248,0
802,632298,800,0.441384,0.318715,0
803,633098,800,0.526204,0.322091,0
804,633898,800,0.473379,0.322562,0
805,634698,800,0.522035,0.328580,0
806,635498,800,0.559966,0.331424,0
807,636298,800,0.572793,0.327957,0
808,637098,800,0.469693,0.332496,0
809,637898,800,0.533395,0.323753,0
810,638698,800,0.519035,0.329366,0
811,639498,800,0.508603,0.336936,0
812,640298,800,0.680393,0.334847,0
813,641098,800,0.477963,0.337091,0
814,641898,800,0.602837,0.343337,0
815,642698,800,0.362603,0.349976,0
816,643498,800,0.517486,0.339914,0
817,644298,800,0.518460,0.351444,0
818,645098,800,0.486089,0.348981,0
819,645898,800,0.601325,0.347654,0
820,646698,800,0.592223,0.349805,0
821,647498,800,0.535230,0.352540,0
822,648298,800,0.519921,0.353163,0
823,649098,800,0.550903,0.353382,0
824,649898,800,0.536610,0.345889,0
825,650698,800,0.544120,0.363560,0
826,651498,800,0.486259,0.358072,0
827,652298,800,0.551780,0.363620,0
