episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
637,501092,800,0.450890,0.329664,0
638,501892,800,0.482566,0.315949,0
639,502692,800,0.469552,0.319331,0
640,503492,800,0.455523,0.327663,0
641,504292,800,0.431032,0.313603,0
642,505092,800,0.373632,0.331261,0
643,505892,800,0.365300,0.317028,0
644,506692,800,0.474545,0.330618,0
645,507492,800,0.538832,0.319164,0
646,508292,800,0.533327,0.324630,0
647,508353,61,-0.547201,0.337552,1
648,509153,800,0.337893,0.333637,0
649,509953,800,0.448742,0.337157,0
650,510753,800,0.491320,0.331859,0
651,511553,800,0.531936,0.347336,0
652,512353,800,0.521007,0.334938,0
653,513153,800,0.519710,0.330936,0
654,513953,800,0.455589,0.340415,0
655,514753,800,0.400403,0.346687,0
656,515553,800,0.504911,0.360274,0
657,516353,800,0.417483,0.346997,0
658,517153,800,0.394510,0.347332,0
659,517953,800,0.421475,0.355803,0
660,518753,800,0.435417,0.346985,0
661,519553,800,0.424472,0.343168,0
662,520353,800,0.474523,0.353111,0
663,521153,800,0.481083,0.351053,0
664,521953,800,0.377478,0.363980,0
665,522753,800,0.442580,0.349267,0
666,523553,800,0.433450,0.360529,0
667,524353,800,0.416661,0.358911,0
668,525153,800,0.504019,0.358290,0
669,525953,800,0.457955,0.355529,0
670,526753,800,0.334782,0.351085,0
671,527553,800,0.366046,0.355247,0
672,528353,800,0.471102,0.358750,0
673,529153,800,0.494628,0.353484,0
674,529953,800,0.434096,0.351721,0
675,530753,800,0.390449,0.361451,0
676,531553,800,0.504308,0.343887,0
677,532353,800,0.357421,0.356565,0
678,533153,800,0.467510,0.348306,0
679,533953,800,0.451265,0.345925,0
680,534753,800,0.260675,0.352067,0
681,535553,800,0.397420,0.350692,0
682,536353,800,0.314504,0.356101,0
683,537153,800,0.318237,0.361383,0
684,537953,800,0.422646,0.354505,0
685,538753,800,0.363982,0.366625,0
686,539553,800,0.325803,0.376669,0
687,540353,800,0.427388,0.375681,0
688,541153,800,0.432493,0.376433,0
689,541953,800,0.492201,0.387724,0
690,542753,800,0.438829,0.375246,0
691,543553,800,0.393644,0.363589,0
692,544353,800,0.461440,0.373029,0
693,545153,800,0.412409,0.372392,0
694,545953,800,0.425084,0.360179,0
695,546753,800,0.335324,0.369861,0
696,547553,800,0.478995,0.366122,0
697,548353,800,0.382838,0.366300,0
698,549153,800,0.278603,0.367945,0
