episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
1071,846098,800,0.790025,0.754363,0
1072,846898,800,0.772373,0.737973,0
1073,847698,800,0.763914,0.734896,0
1074,848498,800,0.761215,0.724536,0
1075,849298,800,0.793375,0.715025,0
1076,850098,800,0.803578,0.705263,0
1077,850898,800,0.662689,0.704450,0
1078,851698,800,0.780618,0.700019,0
1079,852498,800,0.824414,0.678731,0
1080,853298,800,0.788353,0.679767,0
1081,854098,800,0.788468,0.681609,0
1082,854898,800,0.827763,0.665231,0
1083,855698,800,0.830126,0.677434,0
1084,856498,800,0.759064,0.668812,0
1085,857298,800,0.655893,0.670129,0
1086,858098,800,0.773602,0.676812,0
1087,858898,800,0.803635,0.668187,0
1088,859698,800,0.806826,0.654812,0
1089,860498,800,0.777111,0.654010,0
1090,861298,800,0.825926,0.638588,0
1091,862098,800,0.769707,0.620281,0
1092,862898,800,0.825610,0.611632,0
1093,863698,800,0.803907,0.602930,0
1094,864498,800,0.820285,0.602285,0
1095,865298,800,0.719760,0.579030,0
1096,866098,800,0.826929,0.590124,0
1097,866898,800,0.824526,0.565686,0
1098,867698,800,0.758389,0.568946,0
1099,868498,800,0.775276,0.558955,0
1100,869298,800,0.794874,0.550389,0
1101,870098,800,0.738611,0.562115,0
1102,870898,800,0.668133,0.541369,0
1103,871698,800,0.540655,0.568000,0
1104,872498,800,0.758875,0.559983,0
1105,873298,800,0.767550,0.552097,0
1106,874098,800,0.786404,0.551968,0
1107,874898,800,0.730830,0.557932,0
1108,875698,800,0.788996,0.548560,0
1109,876498,800,0.820864,0.536240,0
1110,877298,800,0.793735,0.536602,0
1111,878098,800,0.710169,0.530458,0
1112,878898,800,0.803886,0.530601,0
1113,879698,800,0.785830,0.519293,0
1114,880498,800,0.685989,0.529691,0
