episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
1,800,800,-0.181383,0,0
2,1495,695,-0.938858,0.275534,1
3,1898,403,-0.702467,0.42077,1
4,2394,496,-0.87372,0.525283,1
5,3194,800,-0.388602,0.375207,0
6,3994,800,-0.613088,0.290325,0
7,4229,235,-0.666549,0.381985,1
8,5029,800,-0.373342,0.337808,0
9,5243,214,-0.555307,0.377896,1
10,6043,800,-0.011155,0.351163,0
11,6843,800,-0.163581,0.317248,0
12,7643,800,-0.14148,0.27234,0
13,8443,800,-0.005775,0.265674,0
14,9243,800,-0.005354,0.247249,0
15,10043,800,-0.013984,0.220532,0
16,10843,800,-0.005406,0.22511,0
17,11643,800,-0.004677,0.204447,0
18,12443,800,-0.003821,0.203737,0
19,13243,800,-0.010434,0.186652,0
20,14043,800,-0.00139,0.175499,0
21,14843,800,-0.00336,0.159849,0
22,15643,800,-0.016618,0.178362,0
23,16443,800,-0.011728,0.175675,0
24,17243,800,-0.002806,0.168125,0
25,18043,800,0.002952,0.16955,0
26,18843,800,-0.002057,0.152705,0
27,19643,800,0.000188,0.168888,0
28,20443,800,-0.013625,0.1525,0
29,21243,800,0.018205,0.145587,0
30,22043,800,0.00013,0.155576,0
31,22843,800,0.023278,0.133903,0
32,23643,800,-0.006686,0.130956,0
33,24443,800,0.005918,0.14117,0
34,25243,800,0.016999,0.141318,0
35,26043,800,-0.011749,0.141044,0
36,26843,800,0.032046,0.138444,0
37,27643,800,-0.020768,0.125035,0
38,28443,800,0.030103,0.129255,0
39,29243,800,0.037496,0.131432,0
40,30043,800,0.011592,0.134223,0
41,30843,800,0.059244,0.123935,0
42,31643,800,0.015258,0.117145,0
43,32443,800,0.035864,0.127814,0
44,33243,800,-0.017402,0.125089,0
45,34043,800,0.094765,0.117874,0
46,34843,800,-0.004692,0.119438,0
47,35643,800,0.010191,0.116222,0
48,36443,800,0.020696,0.119948,0
49,37243,800,0.031063,0.116995,0
50,38043,800,-0.000855,0.116873,0
51,38843,800,0.028319,0.118636,0
52,39643,800,-0.003997,0.112367,0
53,40443,800,0.018765,0.117967,0
54,41243,800,0.078679,0.116833,0
55,42043,800,0.043297,0.119449,0
56,42843,800,0.110811,0.105911,0
57,43643,800,0.137082,0.111047,0
58,44443,800,0.022089,0.113785,0
59,45243,800,0.039533,0.108388,0
60,46043,800,-0.03661,0.115205,0
61,46843,800,0.110596,0.117654,0
62,47643,800,0.033197,0.108895,0
63,48443,800,0.066133,0.103008,0
64,49243,800,0.143357,0.10772,0
65,50043,800,0.08782,0.105002,0
