episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
193,151557,800,0.405433,0.000000,0
194,152357,800,0.314653,0.228009,0
195,152708,351,-0.687904,0.388198,1
196,153508,800,-0.251961,0.328782,0
197,154308,800,-0.165870,0.277456,0
198,155108,800,-0.335442,0.251330,0
199,155908,800,-0.031303,0.231080,0
200,156708,800,-0.044840,0.269744,0
201,157508,800,-0.156238,0.252955,0
202,158308,800,0.177681,0.263940,0
203,159108,800,0.180578,0.264722,0
204,159908,800,0.151619,0.234751,0
205,160708,800,0.101636,0.249250,0
206,161508,800,0.109397,0.253251,0
207,162308,800,0.119346,0.249341,0
208,163108,800,0.151647,0.259614,0
209,163908,800,0.158849,0.241715,0
210,164708,800,0.102183,0.238696,0
211,165508,800,0.172105,0.246671,0
212,166308,800,0.162783,0.254589,0
213,167108,800,0.156574,0.252081,0
214,167908,800,0.216754,0.250272,0
215,168708,800,0.205888,0.265025,0
216,169508,800,0.098428,0.269280,0
217,170308,800,0.137329,0.267970,0
218,171108,800,0.194343,0.266490,0
219,171908,800,0.190864,0.266113,0
220,172708,800,0.176743,0.270244,0
221,173508,800,0.169452,0.273648,0
222,174308,800,0.204445,0.281603,0
223,175108,800,0.183279,0.294392,0
224,175908,800,0.182281,0.287779,0
225,176708,800,0.171522,0.299950,0
226,177508,800,0.180333,0.316391,0
227,178308,800,0.224486,0.322777,0
228,179108,800,0.119691,0.319432,0
229,179908,800,0.182601,0.313896,0
230,180708,800,0.219388,0.322345,0
231,181508,800,0.243142,0.326960,0
232,182308,800,0.198029,0.318428,0
233,183108,800,0.197717,0.331461,0
234,183908,800,0.342143,0.328622,0
235,184708,800,0.257815,0.337880,0
236,185508,800,0.184448,0.333378,0
237,186308,800,0.271979,0.341951,0
238,187108,800,0.260128,0.342623,0
239,187908,800,0.064262,0.337459,0
240,188708,800,0.235893,0.346918,0
241,189508,800,0.323514,0.348134,0
242,190308,800,0.256705,0.350232,0
243,191108,800,0.306383,0.349321,0
244,191908,800,0.197815,0.341147,0
245,192708,800,0.297486,0.345942,0
246,193508,800,0.028551,0.338184,0
247,194308,800,0.236554,0.336045,0
248,195108,800,0.184426,0.337876,0
249,195908,800,0.326385,0.335492,0
250,196708,800,0.289350,0.337574,0
251,197508,800,0.117865,0.334230,0
252,198308,800,0.301455,0.339259,0
253,199108,800,0.094412,0.343296,0
254,199908,800,0.342356,0.342095,0
255,200708,800,0.316561,0.351915,0
256,201508,800,0.308522,0.340426,0
257,202308,800,0.400788,0.342123,0
258,203108,800,0.209280,0.342850,0
259,203908,800,0.258002,0.339448,0
260,204708,800,0.370893,0.354131,0
261,205508,800,0.281485,0.355414,0
262,206308,800,0.084166,0.359201,0
263,207108,800,0.212004,0.358610,0
264,207908,800,0.174428,0.353125,0
265,208708,800,0.277207,0.359356,0
266,209508,800,0.302089,0.358652,0
267,210308,800,0.185837,0.364426,0
268,211108,800,0.369953,0.366784,0
269,211908,800,0.297418,0.364030,0
270,212708,800,0.421509,0.379543,0
271,213508,800,0.391238,0.379769,0
272,214308,800,0.314032,0.379773,0
273,215108,800,0.366132,0.381371,0
274,215908,800,0.281439,0.377550,0
275,216708,800,0.303970,0.389894,0
276,217508,800,0.253210,0.391915,0
277,218308,800,0.266464,0.386973,0
278,219108,800,0.309137,0.391775,0
279,219908,800,0.272203,0.383999,0
280,220708,800,0.288763,0.381291,0
281,221508,800,0.141808,0.379623,0
282,222308,800,0.111204,0.378935,0
283,223108,800,0.353068,0.384880,0
284,223908,800,0.326968,0.376310,0
285,224708,800,0.199948,0.378675,0
286,225339,631,-0.339743,0.380436,1
287,226139,800,0.139510,0.393216,0
288,226939,800,0.183952,0.389148,0
289,227739,800,0.095819,0.400200,0
290,228539,800,0.279404,0.399321,0
291,229339,800,0.192823,0.402445,0
292,230139,800,0.092496,0.402384,0
293,230939,800,0.177761,0.396093,0
294,231739,800,0.379354,0.398652,0
295,232539,800,0.437401,0.403934,0
296,233339,800,-0.028126,0.400090,0
297,234139,800,0.217169,0.403340,0
298,234931,792,0.412402,0.405615,2
299,235731,800,0.288268,0.402795,0
300,236531,800,0.284324,0.403834,0
301,237331,800,0.234166,0.402969,0
302,238131,800,0.408731,0.414622,0
303,238931,800,0.287808,0.418572,0
304,239731,800,0.326423,0.429407,0
305,240531,800,0.094083,0.423156,0
306,241331,800,0.329036,0.424729,0
307,242131,800,0.457741,0.439647,0
308,242931,800,0.329119,0.426131,0
309,243731,800,0.453844,0.432939,0
310,244531,800,0.458254,0.448689,0
311,245331,800,0.471085,0.441013,0
312,246131,800,0.244293,0.441228,0
313,246174,43,-0.532108,0.449334,1
314,246974,800,0.310661,0.448853,0
315,247774,800,0.400601,0.459948,0
316,248574,800,0.385632,0.450595,0
317,249374,800,0.301019,0.451099,0
318,250174,800,0.117225,0.445238,0
319,250717,543,-0.329261,0.448622,1
320,251517,800,0.379077,0.456586,0
321,252317,800,0.346985,0.458654,0
322,253052,735,-0.174946,0.478821,1
323,253852,800,0.312919,0.463353,0
