episode,total_steps,ep_len,norm_ret,mean_loss,episode_status
354,278366,717,0.133585,0,2
355,279166,800,0.392682,0.428727,0
356,279966,800,-0.013083,0.2491,0
357,280766,800,-0.002223,0.25974,0
358,281566,800,0.0335,0.235409,0
359,282366,800,0.08665,0.249301,0
360,283166,800,0.112559,0.264647,0
361,283966,800,0.149086,0.256868,0
362,284766,800,0.127971,0.272884,0
363,285566,800,0.146551,0.282188,0
364,286366,800,0.1522,0.27965,0
365,287166,800,0.17045,0.272345,0
366,287966,800,0.134458,0.266111,0
367,288766,800,0.170576,0.291424,0
368,289566,800,0.181536,0.293125,0
369,290366,800,0.401991,0.30853,0
370,291166,800,0.179237,0.326561,0
371,291966,800,0.366824,0.33221,0
372,292766,800,0.428159,0.358309,0
373,293566,800,0.502996,0.365226,0
374,294366,800,0.380764,0.376313,0
375,295166,800,0.422943,0.384987,0
376,295966,800,-0.478261,0.378937,0
377,296766,800,0.428137,0.399449,0
378,297566,800,0.403696,0.401147,0
379,298366,800,0.400716,0.402651,0
380,299166,800,0.3318,0.39475,0
381,299966,800,0.240356,0.391297,0
382,300766,800,0.424577,0.40805,0
383,301566,800,0.043199,0.410848,0
384,302366,800,0.447421,0.403757,0
385,303166,800,0.080417,0.408864,0
386,303966,800,0.140776,0.399167,0
387,304766,800,0.386215,0.416963,0
388,305566,800,0.423608,0.42828,0
389,306366,800,0.282647,0.432535,0
390,307166,800,0.404862,0.430182,0
391,307966,800,0.468824,0.422034,0
392,308766,800,0.415062,0.438492,0
393,309566,800,0.353153,0.442858,0
394,310366,800,0.390227,0.452354,0
395,311166,800,0.448603,0.454257,0
396,311966,800,0.374221,0.437252,0
397,312766,800,0.365721,0.448683,0
398,313566,800,0.395879,0.456753,0
399,314366,800,0.470181,0.45147,0
400,315166,800,0.455503,0.451342,0
401,315966,800,0.413256,0.450015,0
402,316766,800,0.454016,0.457819,0
403,317566,800,0.46345,0.455348,0
404,318366,800,0.305952,0.449346,0
405,319166,800,0.369446,0.445452,0
406,319966,800,0.497602,0.430876,0
407,320766,800,0.464176,0.445369,0
408,321566,800,0.310903,0.462382,0
409,322366,800,0.323057,0.463179,0
410,323166,800,0.369005,0.466388,0
411,323966,800,0.386491,0.455029,0
412,324766,800,0.295754,0.468451,0
413,325566,800,0.427968,0.465944,0
414,326366,800,0.464088,0.460388,0
415,327166,800,0.48975,0.464131,0
416,327966,800,0.42908,0.456133,0
417,328766,800,0.312056,0.464043,0
418,329566,800,0.451652,0.467306,0
