t_s,theta_rad,theta_dot_rads
0.0,-0.20943951023931953,-0.0258655068602137
0.049993,-0.20943951023931953,-0.026315796804496607
0.099994,-0.20420352248333654,0.019772647730767007
0.149993,-0.19111355309337907,0.14253797898092038
0.199993,-0.16755160819145562,0.31866080182445145
0.249993,-0.1387536755335492,0.49696400824174713
0.299994,-0.10471975511965977,0.6201032673258636
0.349993,-0.06806784082777885,0.696861961444788
0.399994,-0.02617993877991494,0.7677497560239825
0.450001,0.018325957145940458,0.8465507002132904
0.499999,0.05759586531581287,0.8650321011073911
0.549992,0.09686577348568529,0.8055880230899746
0.599993,0.1308996938995747,0.7411291656800431
0.649992,0.15969762655748113,0.6592731784276089
0.699994,0.18064157758141308,0.5322838899081004
0.749992,0.19634954084936204,0.3929692063614158
0.799993,0.20158552860534504,0.24606519708816388
0.849992,0.19896753472735354,0.07060120696721657
0.899994,0.18587756533739608,-0.11889598888541146
0.950001,0.16755160819145562,-0.2881373233134197
0.999999,0.14137166941154067,-0.42431200126285634
1.049992,0.10995574287564275,-0.548683223127155
1.099993,0.07068583470577033,-0.6787088794408187
1.149992,0.03141592653589793,-0.7800266204637487
1.199994,-0.010471975511965976,-0.8190361999666965
1.249993,-0.049741883681838385,-0.8169838994923919
1.299994,-0.08901179185171079,-0.7949582011426155
1.349992,-0.1256637061435917,-0.764645486268034
1.400017,-0.15707963267948966,-0.7069966776853177
1.450002,-0.18064157758141308,-0.5894566906383951
1.500016,-0.19634954084936204,-0.430754005685077
1.549994,-0.20420352248333654,-0.26693652448145094
1.600013,-0.20420352248333654,-0.11013990702268837
1.649993,-0.19373154697137057,0.06113968626022858
1.699997,-0.17802358370342158,0.23364144979833792
1.749995,-0.15446163880149816,0.37291981974567046
1.799994,-0.12304571226560022,0.5120109930822722
1.849994,-0.08901179185171079,0.6414822988240143
1.900003,-0.049741883681838385,0.7249164607122728
1.950003,-0.007853981633974482,0.7946695037111817
2.0,0.034033920413889425,0.841754068152072
2.049993,0.07330382858376183,0.8298772259724043
2.099993,0.10733774899765125,0.760470171430025
2.149992,0.1387536755335492,0.6704467430190353
2.199993,0.16493361431346412,0.5903105226322455
2.249994,0.18325957145940458,0.48306275461416515
2.299992,0.19373154697137057,0.32811833513805344
2.349993,0.19634954084936204,0.16249532568786806
2.399992,0.19111355309337907,0.005048051227946192
2.449997,0.1754055898254301,-0.16589504648584777
2.499995,0.15446163880149816,-0.33824220098925356
2.549994,0.1256637061435917,-0.47762547773431635
2.599994,0.09162978572970229,-0.6014206382393583
2.649994,0.054977871437821374,-0.7001828677884251
2.699994,0.015707963267948963,-0.7556212414147474
2.749993,-0.02617993877991494,-0.8000229540732233
2.799994,-0.06544984694978735,-0.8211817189789915
2.849993,-0.10210176124166827,-0.7828890578196921
2.899994,-0.1361356816555577,-0.7179149174455144
2.950005,-0.16231562043547262,-0.6324308511910909
2.999997,-0.18325957145940458,-0.505542362726377
3.049994,-0.19634954084936204,-0.36691347897227794
3.099992,-0.19896753472735354,-0.20467247907814323
3.149993,-0.19634954084936204,-0.02906823250660913
3.199993,-0.18325957145940458,0.12713087775749435
3.249994,-0.16493361431346412,0.281032108960591
3.299992,-0.1387536755335492,0.42292932284233203
3.349994,-0.10733774899765125,0.5498821559778401
3.399993,-0.07068583470577033,0.663554194312832
3.450002,-0.03141592653589793,0.7490856694389688
3.499999,0.007853981633974482,0.7908972228473428
3.549993,0.047123889803846894,0.7916404987474304
3.599993,0.08639379797371931,0.7845280151037204
3.649992,0.11780972450961723,0.7383519988428295
3.699999,0.14660765716752366,0.6321706298743612
3.749998,0.17016960206944712,0.5327175122937599
3.800002,0.18325957145940458,0.41292833225862974
3.849999,0.19111355309337907,0.245981157435436
3.899994,0.19111355309337907,0.09784662138618039
3.950003,0.18064157758141308,-0.05752597060389359
3.999999,0.16493361431346412,-0.23147408596311886
4.049993,0.1387536755335492,-0.3888841942657777
4.099993,0.10995574287564275,-0.52775568868591
4.149992,0.07592182246175333,-0.6234105623330046
4.199992,0.036651914291880916,-0.7069233058221042
4.249993,-0.002617993877991494,-0.7825187639774345
4.299992,-0.041887902047863905,-0.7988554125175091
4.349994,-0.07853981633974483,-0.7705530091916875
4.399992,-0.11257373675363425,-0.7217428420649104
4.450002,-0.14398966328953217,-0.6652279549912816
4.5,-0.16755160819145562,-0.5815560036025761
4.549993,-0.18325957145940458,-0.43794288504254586
4.599994,-0.19373154697137057,-0.2836480028489308
4.649992,-0.19373154697137057,-0.13957300346763143
4.699993,-0.18849555921538758,0.017995575067916218
4.749992,-0.17278759594743862,0.1773060229486201
4.799994,-0.15184364492350666,0.3342994047702823
4.849993,-0.12304571226560022,0.4756601613647083
4.899993,-0.09162978572970229,0.5867534060834427
